h,log10_h,forward_2,forward_3,backward_2,backward_3,central_2
0.392699,-0.40594,0.11903,0.0448515,0.1551,0.0239845,0.0180345
0.19635,-0.70697,0.0646625,0.0102945,0.0737321,0.00763534,0.00453478
0.0981748,-1.008,0.0335468,0.00243111,0.0358175,0.00209711,0.00113534
0.0490874,-1.30903,0.0170676,0.000588363,0.0176355,0.000546562,0.000283937
0.0245437,-1.61006,0.00860608,0.000144569,0.00874806,0.000139342,7.09905e-05
0.0122718,-1.91109,0.00432095,3.58212e-05,0.00435645,3.51678e-05,1.7748e-05
0.00613592,-2.21212,0.00216493,8.91481e-06,0.00217381,8.83313e-06,4.43703e-06
0.00306796,-2.51315,0.00108358,2.22362e-06,0.0010858,2.21341e-06,1.10926e-06
0.00153398,-2.81418,0.000542067,5.55268e-07,0.000542621,5.53992e-07,2.77315e-07
0.00076699,-3.11521,0.000271103,1.38737e-07,0.000271241,1.38578e-07,6.93288e-08
0.000383495,-3.41624,0.000135569,3.46746e-08,0.000135603,3.46541e-08,1.73322e-08
0.000191748,-3.71727,6.77887e-05,8.66843e-09,6.77973e-05,8.66495e-09,4.33278e-09
9.58738e-05,-4.0183,3.38954e-05,2.16768e-09,3.38976e-05,2.16421e-09,1.08342e-09
4.79369e-05,-4.31933,1.6948e-05,5.46474e-10,1.69485e-05,5.40684e-10,2.6992e-10
2.39684e-05,-4.62036,8.47406e-06,1.40014e-10,8.4742e-06,1.26118e-10,6.84268e-11
1.19842e-05,-4.92139,4.23705e-06,4.73737e-11,4.23709e-06,1.95816e-11,1.74746e-11
5.99211e-06,-5.22242,2.11852e-06,5.68545e-12,2.11855e-06,2.21066e-11,1.28426e-11
2.99606e-06,-5.52345,1.05927e-06,4.27416e-11,1.05926e-06,5.68545e-12,5.68545e-12
1.49803e-06,-5.82448,5.29705e-07,1.72438e-10,5.29656e-07,8.69549e-11,2.42135e-11
7.49014e-07,-6.12551,2.64753e-07,1.24011e-10,2.64853e-07,1.24011e-10,4.98988e-11
3.74507e-07,-6.42654,1.32537e-07,4.68887e-10,1.32489e-07,2.72236e-10,2.42135e-11
1.87254e-07,-6.72757,6.61324e-08,2.42135e-11,6.6084e-08,2.42135e-11,2.42135e-11
9.36268e-08,-7.0286,3.3523e-08,1.50646e-09,3.28816e-08,2.72236e-10,3.20663e-10
4.68134e-08,-7.32963,1.69218e-08,1.50646e-09,1.86521e-08,5.60832e-09,8.65134e-10
2.34067e-08,-7.63066,7.43544e-09,3.20663e-10,1.15373e-08,6.79412e-09,2.05093e-09
1.17033e-08,-7.93169,2.69226e-09,2.69226e-09,6.79412e-09,6.79412e-09,2.05093e-09
5.85167e-09,-8.23272,1.21786e-08,3.11514e-08,6.79412e-09,1.62805e-08,2.69226e-09
2.92584e-09,-8.53375,1.21786e-08,3.11514e-08,2.57669e-08,6.37124e-08,6.79412e-09
1.46292e-09,-8.83478,1.21786e-08,5.01241e-08,1.21786e-08,1.21786e-08,1.21786e-08
7.31459e-10,-9.13581,6.37124e-08,6.37124e-08,6.37124e-08,2.15494e-07,6.37124e-08
