h,log10_h,forward_2,forward_3,backward_2,backward_3,central_2
0.392699,-0.40594,0.11903,0.0448515,0.1551,0.0239845,0.0180345
0.19635,-0.70697,0.0646625,0.0102945,0.0737321,0.00763534,0.00453478
0.0981748,-1.008,0.0335468,0.00243111,0.0358175,0.00209711,0.00113534
0.0490874,-1.30903,0.0170676,0.000588363,0.0176355,0.000546562,0.000283937
0.0245437,-1.61006,0.00860608,0.000144569,0.00874806,0.000139342,7.09905e-05
0.0122718,-1.91109,0.00432095,3.58212e-05,0.00435645,3.51678e-05,1.7748e-05
0.00613592,-2.21212,0.00216493,8.91481e-06,0.00217381,8.83313e-06,4.43703e-06
0.00306796,-2.51315,0.00108358,2.22362e-06,0.0010858,2.21341e-06,1.10926e-06
0.00153398,-2.81418,0.000542067,5.55268e-07,0.000542621,5.53992e-07,2.77315e-07
0.00076699,-3.11521,0.000271103,1.38737e-07,0.000271241,1.38578e-07,6.93288e-08
0.000383495,-3.41624,0.000135569,3.46744e-08,0.000135603,3.46544e-08,1.73322e-08
0.000191748,-3.71727,6.77887e-05,8.66734e-09,6.77973e-05,8.66485e-09,4.33305e-09
9.58738e-05,-4.0183,3.38954e-05,2.16668e-09,3.38976e-05,2.16637e-09,1.08326e-09
4.79369e-05,-4.31933,1.6948e-05,5.4165e-10,1.69485e-05,5.41611e-10,2.70816e-10
2.39684e-05,-4.62036,8.47406e-06,1.3541e-10,8.47419e-06,1.35409e-10,6.77031e-11
1.19842e-05,-4.92139,4.23705e-06,3.38507e-11,4.23708e-06,3.38552e-11,1.69251e-11
5.99211e-06,-5.22242,2.11853e-06,8.4628e-12,2.11854e-06,8.46732e-12,4.23002e-12
2.99606e-06,-5.52345,1.05926e-06,2.10282e-12,1.05927e-06,2.10282e-12,1.0636e-12
1.49803e-06,-5.82448,5.29633e-07,4.92468e-13,5.29633e-07,5.64843e-13,2.67472e-13
7.49014e-07,-6.12551,2.64816e-07,1.12498e-13,2.64817e-07,1.48685e-13,6.84404e-14
3.74507e-07,-6.42654,1.32408e-07,3.22528e-14,1.32408e-07,4.01225e-14,3.22528e-14
1.87254e-07,-6.72757,6.62042e-08,1.84873e-13,6.62041e-08,4.01225e-14,4.01225e-14
9.36268e-08,-7.0286,3.3102e-08,1.04628e-13,3.31017e-08,7.63875e-13,1.84873e-13
4.68134e-08,-7.32963,1.65501e-08,1.84164e-12,1.65515e-08,1.26263e-12,6.8363e-13
2.34067e-08,-7.63066,8.27615e-09,2.21138e-12,8.27405e-09,3.36939e-12,1.05338e-12
1.17033e-08,-7.93169,4.13745e-09,1.26263e-12,4.13997e-09,5.89465e-12,1.26263e-12
5.85167e-09,-8.23272,2.0623e-09,1.28427e-11,2.06946e-09,1.05338e-12,3.57864e-12
2.92584e-09,-8.53375,1.02473e-09,1.28427e-11,1.03189e-09,5.6854e-12,3.57864e-12
1.46292e-09,-8.83478,5.05943e-10,1.28427e-11,4.94573e-10,4.27415e-11,5.6854e-12
7.31459e-10,-9.13581,2.4655e-10,1.28427e-11,1.98123e-10,9.83258e-11,2.42135e-11
