t,exact,numerical,error
0.00000000000000000,2.00000000000000000,2.00000000000000000,0.00000000000000000
0.02000000000000000,1.80431560496144439,1.80526315789473668,0.00094755293329229
0.04000000000000000,1.62491738861085411,1.62622658340767146,0.00130919479681735
0.06000000000000000,1.46963556961463793,1.47085447712083739,0.00121890750619946
0.08000000000000000,1.34180793345881222,1.34267037418497570,0.00086244072616348
0.10000000000000001,1.24121085340440729,1.24162654589966226,0.00041569249525497
0.12000000000000001,1.16522975446006338,1.16523714943477597,0.00000739497471258
0.14000000000000001,1.10998004008539075,1.10968770401143901,0.00029233607395174
0.16000000000000000,1.07120448013101233,1.07074003149736963,0.00046444863364270
0.17999999999999999,1.04488280422363244,1.04435871129558722,0.00052409292804523
0.19999999999999998,1.02756909476500424,1.02706633231595146,0.00050276244905278
0.21999999999999997,1.01651604885478286,1.01608161952538700,0.00043442932939586
0.23999999999999996,1.00965793101369217,1.00931058694248388,0.00034734407120829
0.25999999999999995,1.00551686721511335,1.00525597649978926,0.00026089071532409
0.27999999999999997,1.00308071678656208,1.00289485796890276,0.00018585881765931
0.29999999999999999,1.00168293464339064,1.00155651830129422,0.00012641634209642
0.32000000000000001,1.00089997487998716,1.00081748176036145,0.00008249311962572
0.34000000000000002,1.00047143244480474,1.00041959610273934,0.00005183634206540
0.36000000000000004,1.00024204739044764,1.00021058948243091,0.00003145790801673
0.38000000000000006,1.00012187860193080,1.00010339663866965,0.00001848196326115
0.40000000000000008,1.00006022044146370,1.00004968717190090,0.00001053326956280
0.42000000000000010,1.00002921344367501,1.00002338004627744,0.00000583339739757
0.44000000000000011,1.00001392089266217,1.00001077697395635,0.00000314391870582
0.46000000000000013,1.00000651944841068,1.00000486831125524,0.00000165113715545
0.48000000000000015,1.00000300205921389,1.00000215606815801,0.00000084599105588
0.50000000000000011,1.00000135984440841,1.00000093651609179,0.00000042332831662
0.52000000000000013,1.00000060619151898,1.00000039911339988,0.00000020707811910
0.54000000000000015,1.00000026604974845,1.00000016693963412,0.00000009911011434
0.56000000000000016,1.00000011500662667,1.00000006855716816,0.00000004644945850
0.58000000000000018,1.00000004898440942,1.00000002765154683,0.00000002133286259
0.60000000000000020,1.00000002056503834,1.00000001095713453,0.00000000960790381
0.62000000000000022,1.00000000851321169,1.00000000426696101,0.00000000424625068
0.64000000000000024,1.00000000347615781,1.00000000163347713,0.00000000184268067
0.66000000000000025,1.00000000140052903,1.00000000061489991,0.00000000078562912
0.68000000000000027,1.00000000055694271,1.00000000022767388,0.00000000032926883
0.70000000000000029,1.00000000021866997,1.00000000008293832,0.00000000013573165
0.72000000000000031,1.00000000008479262,1.00000000002973333,0.00000000005505929
0.74000000000000032,1.00000000003248180,1.00000000001049272,0.00000000002198908
0.76000000000000034,1.00000000001229594,1.00000000000364575,0.00000000000865019
0.78000000000000036,1.00000000000460076,1.00000000000124745,0.00000000000335332
0.80000000000000038,1.00000000000170197,1.00000000000042055,0.00000000000128142
0.82000000000000040,1.00000000000062261,1.00000000000013989,0.00000000000048272
0.84000000000000041,1.00000000000022538,1.00000000000004574,0.00000000000017963
0.86000000000000043,1.00000000000008060,1.00000000000001488,0.00000000000006573
0.88000000000000045,1.00000000000002864,1.00000000000000488,0.00000000000002376
0.90000000000000047,1.00000000000000999,1.00000000000000155,0.00000000000000844
0.92000000000000048,1.00000000000000355,1.00000000000000067,0.00000000000000289
0.94000000000000050,1.00000000000000111,1.00000000000000022,0.00000000000000089
0.96000000000000052,1.00000000000000044,1.00000000000000022,0.00000000000000022
0.98000000000000054,1.00000000000000022,1.00000000000000000,0.00000000000000022
1.00000000000000044,1.00000000000000000,1.00000000000000000,0.00000000000000000
