t,exact,numerical,error
0.00000000000000000,2.00000000000000000,2.00000000000000000,0.00000000000000000
0.01000000000000000,1.90080161998381758,1.89999999999999991,0.00080161998381767
0.02000000000000000,1.80431560496144439,1.80198019801980180,0.00233540694164258
0.03000000000000000,1.71197833367778407,1.70762958648806040,0.00434874718972367
0.04000000000000000,1.62491738861085411,1.61831711440704318,0.00660027420381093
0.05000000000000000,1.54395692091783809,1.53508211823686436,0.00887480268097374
0.06000000000000000,1.46963556961463748,1.45864181563159812,0.01099375398303937
0.07000000000000001,1.40223385230075759,1.38941286232871541,0.01282098997204217
0.08000000000000000,1.34180793345881222,1.32754352906153628,0.01426440439727594
0.09000000000000000,1.28822687795277524,1.27295294088461364,0.01527393706816160
0.09999999999999999,1.24121085340440729,1.22537398788637830,0.01583686551802899
0.10999999999999999,1.20036819683005880,1.18439689917976398,0.01597129765029481
0.11999999999999998,1.16522975446006094,1.14951099933494372,0.01571875512511722
0.12999999999999998,1.13527939388936017,1.12014276732272267,0.01513662656663750
0.13999999999999999,1.10998004008538920,1.09568892972606236,0.01429111035932684
0.14999999999999999,1.08879497785806856,1.07554389188899657,0.01325108596907199
0.16000000000000000,1.07120448013101233,1.05912130669573634,0.01208317343527598
0.17000000000000001,1.05671805962089582,1.04586997933289894,0.01084808028799689
0.18000000000000002,1.04488280422363244,1.03528459948684537,0.00959820473678707
0.19000000000000003,1.03528835137456054,1.02691198265945838,0.00837636871510217
0.20000000000000004,1.02756909476500424,1.02035360033068279,0.00721549443432146
0.21000000000000005,1.02140421025919315,1.01526520024801203,0.00613901001118111
0.22000000000000006,1.01651604885478264,1.01135428117620729,0.00516176767857535
0.23000000000000007,1.01266738428549452,1.00837610906441522,0.00429127522107930
0.24000000000000007,1.00965793101369194,1.00612886029103543,0.00352907072265651
0.25000000000000006,1.00732047266244629,1.00444836634026768,0.00287210632217860
0.26000000000000006,1.00551686721511313,1.00320282376499281,0.00231404345012032
0.27000000000000007,1.00413412757748777,1.00228773126070925,0.00184639631677852
0.28000000000000008,1.00308071678656208,1.00162122687766808,0.00145948990889400
0.29000000000000009,1.00228314740678304,1.00113992514836037,0.00114322225842267
0.30000000000000010,1.00168293464339064,1.00079529661513522,0.00088763802825542
0.31000000000000011,1.00123392189357219,1.00055058996432433,0.00068333192924785
0.32000000000000012,1.00089997487998716,1.00037826791442130,0.00052170696556586
0.33000000000000013,1.00065302496448272,1.00025790994165087,0.00039511502283185
0.34000000000000014,1.00047143244480474,1.00017452552442543,0.00029690692037931
0.35000000000000014,1.00033863535466394,1.00011721863580805,0.00022141671885589
0.36000000000000015,1.00024204739044764,1.00007814575720544,0.00016390163324220
0.37000000000000016,1.00017216910175333,1.00005171410403304,0.00012045499772029
0.38000000000000017,1.00012187860193080,1.00003397276907280,0.00008790583285800
0.39000000000000018,1.00008587114002756,1.00002215615374324,0.00006371498628432
0.40000000000000019,1.00006022044146370,1.00001434571105685,0.00004587473040685
0.41000000000000020,1.00004203841962269,1.00000922224282229,0.00003281617680040
0.42000000000000021,1.00002921344367501,1.00000588653797173,0.00002332690570328
0.43000000000000022,1.00002021066716362,1.00000373090434835,0.00001647976281527
0.44000000000000022,1.00001392089266217,1.00000234812161781,0.00001157277104435
0.45000000000000023,1.00000954703501721,1.00000146757601116,0.00000807945900605
0.46000000000000024,1.00000651944841068,1.00000091090924825,0.00000560853916243
0.47000000000000025,1.00000443322198085,1.00000056151939964,0.00000387170258120
0.48000000000000026,1.00000300205921389,1.00000034378738745,0.00000265827182644
0.49000000000000027,1.00000202457814247,1.00000020905989784,0.00000181551824463
0.50000000000000022,1.00000135984440841,1.00000012627779067,0.00000123356661774
0.51000000000000023,1.00000090971777267,1.00000007576667449,0.00000083395109818
0.52000000000000024,1.00000060619151898,1.00000004515894503,0.00000056103257395
0.53000000000000025,1.00000040236596033,1.00000002673884913,0.00000037562711119
0.54000000000000026,1.00000026604974845,1.00000001572873476,0.00000025032101370
0.55000000000000027,1.00000017524931573,1.00000000919211773,0.00000016605719799
0.56000000000000028,1.00000011500662667,1.00000000533735878,0.00000010966926789
0.57000000000000028,1.00000007519401035,1.00000000307924553,0.00000007211476483
0.58000000000000029,1.00000004898440942,1.00000000176517267,0.00000004721923674
0.59000000000000030,1.00000003179558039,1.00000000100547815,0.00000003079010225
0.60000000000000031,1.00000002056503834,1.00000000056913851,0.00000001999589982
0.61000000000000032,1.00000001325456411,1.00000000032014036,0.00000001293442375
0.62000000000000033,1.00000000851321169,1.00000000017896040,0.00000000833425129
0.63000000000000034,1.00000000544919110,1.00000000009942247,0.00000000534976863
0.64000000000000035,1.00000000347615781,1.00000000005489587,0.00000000342126194
0.65000000000000036,1.00000000221010876,1.00000000003012568,0.00000000217998308
0.66000000000000036,1.00000000140052903,1.00000000001643219,0.00000000138409684
0.67000000000000037,1.00000000088461061,1.00000000000890910,0.00000000087570151
0.68000000000000038,1.00000000055694271,1.00000000000480127,0.00000000055214144
0.69000000000000039,1.00000000034952974,1.00000000000257216,0.00000000034695757
0.70000000000000040,1.00000000021866997,1.00000000000136979,0.00000000021730018
0.71000000000000041,1.00000000013637713,1.00000000000072520,0.00000000013565193
0.72000000000000042,1.00000000008479262,1.00000000000038169,0.00000000008441092
0.73000000000000043,1.00000000005255951,1.00000000000019962,0.00000000005235989
0.74000000000000044,1.00000000003248180,1.00000000000010392,0.00000000003237788
0.75000000000000044,1.00000000002001421,1.00000000000005373,0.00000000001996048
0.76000000000000045,1.00000000001229594,1.00000000000002753,0.00000000001226841
0.77000000000000046,1.00000000000753220,1.00000000000001399,0.00000000000751821
0.78000000000000047,1.00000000000460076,1.00000000000000711,0.00000000000459366
0.79000000000000048,1.00000000000280220,1.00000000000000355,0.00000000000279865
0.80000000000000049,1.00000000000170197,1.00000000000000178,0.00000000000170020
0.81000000000000050,1.00000000000103095,1.00000000000000089,0.00000000000103006
0.82000000000000051,1.00000000000062261,1.00000000000000044,0.00000000000062217
0.83000000000000052,1.00000000000037503,1.00000000000000022,0.00000000000037481
0.84000000000000052,1.00000000000022538,1.00000000000000000,0.00000000000022538
0.85000000000000053,1.00000000000013500,1.00000000000000000,0.00000000000013500
0.86000000000000054,1.00000000000008060,1.00000000000000000,0.00000000000008060
0.87000000000000055,1.00000000000004818,1.00000000000000000,0.00000000000004818
0.88000000000000056,1.00000000000002864,1.00000000000000000,0.00000000000002864
0.89000000000000057,1.00000000000001688,1.00000000000000000,0.00000000000001688
0.90000000000000058,1.00000000000000999,1.00000000000000000,0.00000000000000999
0.91000000000000059,1.00000000000000600,1.00000000000000000,0.00000000000000600
0.92000000000000060,1.00000000000000355,1.00000000000000000,0.00000000000000355
0.93000000000000060,1.00000000000000200,1.00000000000000000,0.00000000000000200
0.94000000000000061,1.00000000000000111,1.00000000000000000,0.00000000000000111
