x,exact,equidistant,chebyshev
-0.445,-0.224708,-0.32834,-0.428422
-0.444,-0.225202,-0.329668,-0.430265
-0.443,-0.225693,-0.330999,-0.432113
-0.442,-0.226182,-0.332334,-0.433967
-0.441,-0.226669,-0.333672,-0.435827
-0.44,-0.227153,-0.335013,-0.437692
-0.439,-0.227634,-0.336358,-0.439563
-0.438,-0.228113,-0.337706,-0.44144
-0.437,-0.228589,-0.339057,-0.443322
-0.436,-0.229062,-0.340411,-0.44521
-0.435,-0.229533,-0.341768,-0.447104
-0.434,-0.230001,-0.343129,-0.449003
-0.433,-0.230466,-0.344492,-0.450908
-0.432,-0.230928,-0.345859,-0.452819
-0.431,-0.231387,-0.347229,-0.454735
-0.43,-0.231843,-0.348602,-0.456657
-0.429,-0.232297,-0.349978,-0.458585
-0.428,-0.232747,-0.351357,-0.460518
-0.427,-0.233194,-0.352739,-0.462457
-0.426,-0.233637,-0.354124,-0.464401
-0.425,-0.234078,-0.355512,-0.466351
-0.424,-0.234515,-0.356903,-0.468307
-0.423,-0.234949,-0.358297,-0.470268
-0.422,-0.23538,-0.359694,-0.472235
-0.421,-0.235807,-0.361094,-0.474208
-0.42,-0.236231,-0.362497,-0.476186
-0.419,-0.236651,-0.363902,-0.47817
-0.418,-0.237067,-0.365311,-0.480159
-0.417,-0.23748,-0.366722,-0.482154
-0.416,-0.23789,-0.368137,-0.484155
-0.415,-0.238295,-0.369554,-0.486161
-0.414,-0.238697,-0.370974,-0.488173
-0.413,-0.239095,-0.372396,-0.49019
-0.412,-0.23949,-0.373822,-0.492213
-0.411,-0.23988,-0.37525,-0.494241
-0.41,-0.240266,-0.37668,-0.496275
-0.409,-0.240649,-0.378114,-0.498315
-0.408,-0.241027,-0.37955,-0.50036
-0.407,-0.241401,-0.380989,-0.502411
-0.406,-0.241771,-0.38243,-0.504467
-0.405,-0.242137,-0.383874,-0.506529
-0.404,-0.242499,-0.38532,-0.508596
-0.403,-0.242856,-0.386769,-0.510669
-0.402,-0.243209,-0.388221,-0.512747
-0.401,-0.243558,-0.389675,-0.514831
-0.4,-0.243902,-0.391132,-0.51692
-0.399,-0.244242,-0.39259,-0.519015
-0.398,-0.244578,-0.394052,-0.521115
-0.397,-0.244908,-0.395516,-0.52322
-0.396,-0.245234,-0.396982,-0.525331
-0.395,-0.245556,-0.39845,-0.527448
-0.394,-0.245873,-0.399921,-0.52957
-0.393,-0.246185,-0.401394,-0.531697
-0.392,-0.246492,-0.402869,-0.53383
-0.391,-0.246794,-0.404347,-0.535968
-0.39,-0.247092,-0.405826,-0.538112
-0.389,-0.247384,-0.407308,-0.540261
-0.388,-0.247672,-0.408792,-0.542416
-0.387,-0.247955,-0.410279,-0.544575
-0.386,-0.248232,-0.411767,-0.546741
-0.385,-0.248505,-0.413257,-0.548911
-0.384,-0.248772,-0.41475,-0.551087
-0.383,-0.249034,-0.416244,-0.553268
-0.382,-0.249291,-0.41774,-0.555455
-0.381,-0.249543,-0.419239,-0.557646
-0.38,-0.249789,-0.420739,-0.559843
-0.379,-0.25003,-0.422241,-0.562046
-0.378,-0.250266,-0.423745,-0.564253
-0.377,-0.250496,-0.42525,-0.566466
-0.376,-0.25072,-0.426758,-0.568685
-0.375,-0.250939,-0.428267,-0.570908
-0.374,-0.251153,-0.429778,-0.573137
-0.373,-0.251361,-0.431291,-0.57537
-0.372,-0.251563,-0.432805,-0.577609
-0.371,-0.25176,-0.434321,-0.579854
-0.37,-0.251951,-0.435839,-0.582103
-0.369,-0.252136,-0.437358,-0.584357
-0.368,-0.252315,-0.438878,-0.586617
-0.367,-0.252489,-0.440401,-0.588882
-0.366,-0.252657,-0.441924,-0.591152
-0.365,-0.252819,-0.443449,-0.593427
-0.364,-0.252975,-0.444975,-0.595707
-0.363,-0.253125,-0.446503,-0.597992
-0.362,-0.253268,-0.448032,-0.600282
-0.361,-0.253406,-0.449562,-0.602578
-0.36,-0.253538,-0.451094,-0.604878
-0.359,-0.253664,-0.452626,-0.607183
-0.358,-0.253784,-0.45416,-0.609493
-0.357,-0.253897,-0.455695,-0.611809
-0.356,-0.254004,-0.457231,-0.614129
-0.355,-0.254106,-0.458768,-0.616454
-0.354,-0.2542,-0.460306,-0.618784
-0.353,-0.254289,-0.461845,-0.621119
-0.352,-0.254371,-0.463385,-0.623459
-0.351,-0.254447,-0.464926,-0.625804
-0.35,-0.254517,-0.466468,-0.628153
-0.349,-0.25458,-0.46801,-0.630508
-0.348,-0.254636,-0.469554,-0.632867
-0.347,-0.254687,-0.471098,-0.635231
-0.346,-0.254731,-0.472642,-0.6376
-0.345,-0.254768,-0.474188,-0.639974
-0.344,-0.254799,-0.475733,-0.642352
-0.343,-0.254823,-0.47728,-0.644735
-0.342,-0.254841,-0.478827,-0.647123
-0.341,-0.254852,-0.480374,-0.649515
-0.34,-0.254857,-0.481922,-0.651912
-0.339,-0.254854,-0.48347,-0.654314
-0.338,-0.254846,-0.485019,-0.65672
-0.337,-0.25483,-0.486567,-0.659131
-0.336,-0.254808,-0.488116,-0.661547
-0.335,-0.25478,-0.489665,-0.663967
-0.334,-0.254744,-0.491215,-0.666392
-0.333,-0.254702,-0.492764,-0.668821
-0.332,-0.254653,-0.494314,-0.671255
-0.331,-0.254598,-0.495863,-0.673693
-0.33,-0.254535,-0.497412,-0.676135
-0.329,-0.254466,-0.498962,-0.678582
-0.328,-0.25439,-0.500511,-0.681034
-0.327,-0.254307,-0.50206,-0.68349
-0.326,-0.254218,-0.503609,-0.68595
-0.325,-0.254121,-0.505157,-0.688414
-0.324,-0.254018,-0.506705,-0.690883
-0.323,-0.253908,-0.508253,-0.693356
-0.322,-0.253791,-0.5098,-0.695834
-0.321,-0.253667,-0.511347,-0.698315
-0.32,-0.253537,-0.512893,-0.700801
-0.319,-0.253399,-0.514438,-0.703291
-0.318,-0.253255,-0.515983,-0.705785
-0.317,-0.253104,-0.517527,-0.708283
-0.316,-0.252946,-0.519071,-0.710786
-0.315,-0.252781,-0.520613,-0.713292
-0.314,-0.252609,-0.522155,-0.715803
-0.313,-0.25243,-0.523696,-0.718317
-0.312,-0.252244,-0.525236,-0.720836
-0.311,-0.252052,-0.526774,-0.723358
-0.31,-0.251852,-0.528312,-0.725885
-0.309,-0.251646,-0.529848,-0.728415
-0.308,-0.251433,-0.531384,-0.73095
-0.307,-0.251213,-0.532918,-0.733488
-0.306,-0.250986,-0.53445,-0.73603
-0.305,-0.250752,-0.535981,-0.738575
-0.304,-0.250511,-0.537511,-0.741125
