x,f
-0.989821,-0.0395967
-0.909632,-0.0502115
-0.75575,-0.0825458
-0.540641,-0.172405
-0.281733,-0.243397
2.83277e-16,2.83277e-16
0.281733,0.243397
0.540641,0.172405
0.75575,0.0825458
0.909632,0.0502115
0.989821,0.0395967
